"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"22","Bermuda","BMU","beijing-2008",TRUE,63000,0,0,0,0,0,0,0,0,0
"23","Bhutan","BTN","beijing-2008",TRUE,686000,0,0,0,0,0,0,0,0,0
"24","Bolivia","BOL","beijing-2008",TRUE,9851000,0,0,0,0,0,0,0,0,0
"25","Bosnia and Herzegovina","BIH","beijing-2008",TRUE,3948000,0,0,0,0,0,0,0,0,0
"26","Botswana","BWA","beijing-2008",TRUE,1950000,0,0,0,0,0,0,0,0,0
"27","Brazil","BRA","beijing-2008",TRUE,190367000,5,1,0,0,0,10,15,17,16
"28","British Virgin Islands","VGB","beijing-2008",TRUE,26000,0,0,0,0,0,0,0,0,0
"29","Brunei","BRN","beijing-2008",FALSE,378000,0,0,0,0,0,0,0,0,0
"30","Bulgaria","BGR","beijing-2008",TRUE,7536000,5,0,0,0,0,0,5,5,5
"31","Burkina Faso","BFA","beijing-2008",TRUE,15258000,0,0,0,0,0,0,0,0,0
"32","Burundi","BDI","beijing-2008",TRUE,8506000,0,0,0,0,0,0,0,0,0
"33","Cambodia","KHM","beijing-2008",TRUE,14053000,0,0,0,0,0,0,0,0,0
"34","Cameroon","CMR","beijing-2008",TRUE,18574000,1,0,0,0,0,0,1,1,1
"35","Canada","CAN","beijing-2008",TRUE,33449000,15,0,0,0,0,5,20,20,20
"36","Cape Verde","CPV","beijing-2008",TRUE,501000,0,0,0,0,0,0,0,0,0
"37","Cayman Islands","CYM","beijing-2008",TRUE,51000,0,0,0,0,0,0,0,0,0
"38","Central African Republic","CAF","beijing-2008",TRUE,4559000,0,0,0,0,0,0,0,0,0
"39","Chad","TCD","beijing-2008",TRUE,11476000,0,0,0,0,0,0,0,0,0
"40","Chile","CHL","beijing-2008",TRUE,16839000,1,0,0,0,0,0,1,1,1
"41","China","CHN","beijing-2008",TRUE,1333821000,65,4,0,0,0,27,92,100,96
"42","Taiwan","TWN","beijing-2008",TRUE,23086000,4,0,0,0,0,0,4,4,4
"43","Colombia","COL","beijing-2008",TRUE,43759000,3,0,0,0,0,0,3,3,3
"44","Comoros","COM","beijing-2008",TRUE,629000,0,0,0,0,0,0,0,0,0
"45","Republic of the Congo","COG","beijing-2008",TRUE,4114000,0,0,0,0,0,0,0,0,0
"46","Democratic Republic of the Congo","COD","beijing-2008",TRUE,64391000,0,0,0,0,0,0,0,0,0
"47","Cook Islands","COK","beijing-2008",TRUE,16000,0,0,0,0,0,0,0,0,0
"48","Costa Rica","CRI","beijing-2008",TRUE,4440000,0,0,0,0,0,0,0,0,0
"49","Ivory Coast","CIV","beijing-2008",TRUE,21514000,0,0,0,0,0,0,0,0,0
"50","Croatia","HRV","beijing-2008",TRUE,4315000,5,0,0,0,0,0,5,5,5
"51","Cuba","CUB","beijing-2008",TRUE,11292000,29,0,0,0,0,1,30,30,30
"52","Cyprus","CYP","beijing-2008",TRUE,1091000,0,0,0,0,0,0,0,0,0
"53","Czech Republic","CZE","beijing-2008",TRUE,10378000,4,1,0,0,0,1,5,7,6
"54","Denmark","DNK","beijing-2008",TRUE,5494000,1,0,0,0,0,6,7,7,7
"55","Djibouti","DJI","beijing-2008",TRUE,893000,0,0,0,0,0,0,0,0,0
"56","Dominica","DMA","beijing-2008",TRUE,69000,0,0,0,0,0,0,0,0,0
"57","Dominican Republic","DOM","beijing-2008",TRUE,9573000,2,0,0,0,0,0,2,2,2
"58","Ecuador","ECU","beijing-2008",TRUE,14575000,1,0,0,0,0,0,1,1,1
"59","Egypt","EGY","beijing-2008",TRUE,85865000,2,0,0,0,0,0,2,2,2
"60","El Salvador","SLV","beijing-2008",TRUE,6029000,0,0,0,0,0,0,0,0,0
"61","Equatorial Guinea","GNQ","beijing-2008",TRUE,1085000,0,0,0,0,0,0,0,0,0
"62","Eritrea","ERI","beijing-2008",TRUE,2816000,0,0,0,0,0,0,0,0,0
"63","Estonia","EST","beijing-2008",TRUE,1337000,1,0,0,0,0,1,2,2,2
"64","Eswatini","SWZ","beijing-2008",TRUE,1098000,0,0,0,0,0,0,0,0,0
